대수,국회의원코드,국회의원명,의안ID,의안번호,대표발의
제13대,1LA80851,박석무,011044,130383,true
제13대,1LA80851,박석무,011046,130382,true
제13대,1LA80851,박석무,011045,130381,true
제13대,1LA80851,박석무,011050,130380,true
제13대,1LA80851,박석무,011048,130379,true
제13대,1LA80851,박석무,011043,130378,true
제13대,1LA80851,박석무,011049,130377,true
제13대,7GJ2564V,최락도,011034,130371,true
제13대,7GJ2564V,최락도,011022,130370,true
제13대,CAX57348,박영숙,011023,130369,true
제13대,KQV94557,김광일,011023,130369,false
제13대,04D1245W,박병선,011023,130369,false
제13대,35I30124,강삼재,011036,130358,true
제13대,FR056047,문정수,011024,130357,true
제13대,5SH5466E,최기선,011024,130357,false
제13대,YP610287,황병태,011024,130357,false
제13대,1LA80851,박석무,011017,130353,true
제13대,1LA80851,박석무,011018,130352,true
제13대,1LA80851,박석무,011019,130351,true
제13대,JZQ2865S,이진우,011011,130349,true
제13대,I3819289,오유방,011011,130349,false
제13대,BM974630,정동윤,011011,130349,false
제13대,I3819289,오유방,011010,130348,true
제13대,FSN5613H,박희태,011010,130348,false
제13대,I3819289,오유방,011015,130347,true
제13대,FSN5613H,박희태,011015,130347,false
제13대,JZQ2865S,이진우,011008,130346,true
제13대,P1G3654N,이치호,011008,130346,false
제13대,OG58098B,홍세기,011008,130346,false
제13대,NUX49887,이한동,011014,130345,true
제13대,DTM59312,김태호,011014,130345,false
제13대,I3819289,오유방,011014,130345,false
제13대,SDX64659,이종찬,011009,130344,true
제13대,VYI2708Q,신기하,011009,130344,false
제13대,M9I4775W,유기수,011009,130344,false
제13대,J3Q5491L,김남,011013,130343,true
제13대,LNJ8027O,강금식,011013,130343,false
제13대,L9A8497B,신진수,011013,130343,false
제13대,HJI9845B,이인제,011004,130341,true
제13대,6Z125924,송두호,011005,130340,true
제13대,FYA2094A,조만후,011003,130338,true
제13대,N8Y13552,박태권,011000,130335,true
제13대,LO069688,신영순,010998,130334,true
제13대,JP019849,김장숙,010998,130334,false
제13대,OK67147J,이윤자,010998,130334,false
제13대,EC995719,구자춘,011002,130333,true
제13대,EC995719,구자춘,010999,130332,true
제13대,9VF7142D,이병희,010986,130331,true
제13대,9VF7142D,이병희,010993,130330,true
제13대,TQH7044H,박관용,010990,130329,true
제13대,1LA80851,박석무,010990,130329,false
