대수,국회의원코드,국회의원명,국회의원한자명,정당명,선거구명,발의수(전체),발의수(대표발의),발의수(공동발의),원안가결(전체),수정가결(전체),철회(전체),부결(전체),수정안반영폐기(전체),대안반영폐기(전체),폐기(전체),임기만료폐기(전체),회기불계속폐기(전체),기타(전체),원안가결(대표발의),수정가결(대표발의),철회(대표발의),부결(대표발의),수정안반영폐기(대표발의),대안반영폐기(대표발의),폐기(대표발의),임기만료폐기(대표발의),회기불계속폐기(대표발의),기타,원안가결(공동발의),수정가결(공동발의),철회(공동발의),부결(공동발의),수정안반영폐기(공동발의),대안반영폐기(공동발의),폐기(공동발의),임기만료폐기(공동발의),회기불계속폐기(공동발의),기타(공동발의)
제21대,6U243644,박형수,朴亨修,미래통합당,경북 영주시영양군봉화군울진군,370,40,330,8,18,6,0,5,85,0,248,0,0,1,2,0,0,0,9,0,28,0,0,7,16,6,0,5,76,0,220,0,0
제21대,YOG1280B,안철수,安哲秀,국민의힘,경기 성남시분당구갑,186,13,173,1,9,1,0,1,26,0,148,0,0,0,0,0,0,0,3,0,10,0,0,1,9,1,0,1,23,0,138,0,0
제21대,IOW8224X,이형석,李炯錫,더불어민주당,광주 북구을,1230,75,1155,10,65,15,0,6,329,6,799,0,0,0,3,0,0,0,35,0,37,0,0,10,62,15,0,6,294,6,762,0,0
제21대,9YO73104,전재수,田載秀,더불어민주당,부산 북구강서구갑,831,84,747,4,40,8,0,7,217,5,550,0,0,0,3,2,0,1,24,0,54,0,0,4,37,6,0,6,193,5,496,0,0
제21대,YLS4431M,조수진,趙修眞,미래한국당,비례대표,972,33,939,11,36,6,0,21,241,10,647,0,0,0,0,0,0,2,3,0,28,0,0,11,36,6,0,19,238,10,619,0,0
제21대,0YT3774N,황운하,黃雲夏,더불어민주당,대전 중구,1675,77,1598,23,67,16,0,2,398,7,1162,0,0,0,3,1,0,0,5,0,68,0,0,23,64,15,0,2,393,7,1094,0,0
제21대,LG63087O,권영세,權寧世,미래통합당,서울 용산구,494,34,460,7,22,6,0,1,124,1,333,0,0,0,0,0,0,0,8,0,26,0,0,7,22,6,0,1,116,1,307,0,0
제21대,8Q88373R,김병기,金炳基,더불어민주당,서울 동작구갑,922,57,865,12,49,1,0,5,216,2,637,0,0,0,0,0,0,0,12,0,45,0,0,12,49,1,0,5,204,2,592,0,0
제21대,GOC54665,문정복,文貞福,더불어민주당,경기 시흥시갑,736,33,703,4,34,8,0,1,171,2,516,0,0,0,2,2,0,0,6,0,23,0,0,4,32,6,0,1,165,2,493,0,0
제21대,WVU2479T,이상헌,李相憲,더불어민주당,울산 북구,1493,108,1385,25,86,22,0,17,349,3,991,0,0,0,7,0,0,1,24,0,76,0,0,25,79,22,0,16,325,3,915,0,0
제21대,CDL93608,조응천,趙應天,더불어민주당,경기 남양주시갑,390,81,309,8,42,0,0,0,120,2,218,0,0,4,8,0,0,0,26,0,43,0,0,4,34,0,0,0,94,2,175,0,0
제21대,X1K3667J,김교흥,金敎興,더불어민주당,인천 서구갑,806,73,733,15,55,5,0,19,223,4,485,0,0,3,8,0,0,0,31,0,31,0,0,12,47,5,0,19,192,4,454,0,0
제21대,40S1959J,박영순,朴英淳,더불어민주당,대전 대덕구,985,67,918,17,61,3,0,2,281,3,618,0,0,0,9,0,0,0,17,1,40,0,0,17,52,3,0,2,264,2,578,0,0
제21대,OSV9142K,이만희,李晩熙,미래통합당,경북 영천시청도군,427,73,354,14,27,6,0,5,128,0,247,0,0,0,6,2,0,0,24,0,41,0,0,14,21,4,0,5,104,0,206,0,0
제21대,8FC9697X,유기홍,柳基洪,더불어민주당,서울 관악구갑,392,56,336,4,25,1,0,2,101,0,259,0,0,0,2,0,0,0,19,0,35,0,0,4,23,1,0,2,82,0,224,0,0
제21대,K5F2023J,이학영,李學永,더불어민주당,경기 군포시,1295,89,1206,18,62,9,0,2,301,4,899,0,0,2,1,1,0,0,11,0,74,0,0,16,61,8,0,2,290,4,825,0,0
제21대,2385336L,정청래,鄭淸來,더불어민주당,서울 마포구을,724,176,548,32,31,8,0,1,171,5,476,0,0,5,1,4,0,0,40,2,124,0,0,27,30,4,0,1,131,3,352,0,0
제21대,GFF1986K,김병욱,金炳旭,더불어민주당,경기 성남시분당구을,2786,172,2614,20,115,24,0,31,712,13,1871,0,0,2,5,2,0,5,49,1,108,0,0,18,110,22,0,26,663,12,1763,0,0
제21대,GF286398,김병주,金柄周,더불어시민당,비례대표,541,43,498,28,25,1,0,2,117,2,366,0,0,7,2,0,0,0,9,0,25,0,0,21,23,1,0,2,108,2,341,0,0
제21대,P2N4585G,김승남,金承南,더불어민주당,전남 고흥군보성군장흥군강진군,1486,120,1366,9,83,10,0,5,328,2,1049,0,0,1,10,3,0,1,33,0,72,0,0,8,73,7,0,4,295,2,977,0,0
제21대,6399076T,김민철,金敏徹,더불어민주당,경기 의정부시을,1598,69,1529,42,69,27,0,5,414,7,1034,0,0,2,3,0,0,0,20,1,43,0,0,40,66,27,0,5,394,6,991,0,0
제21대,S9U45255,이양수,李亮壽,미래통합당,강원 속초시인제군고성군양양군,500,48,452,6,39,5,0,7,127,1,315,0,0,1,11,0,0,1,9,0,26,0,0,5,28,5,0,6,118,1,289,0,0
제21대,XPP2564T,한정애,韓貞愛,더불어민주당,서울 강서구병,567,94,473,4,26,3,0,0,123,1,410,0,0,0,8,0,0,0,30,1,55,0,0,4,18,3,0,0,93,0,355,0,0
제21대,GE71932C,용혜인,龍慧仁,기본소득당,비례대표,783,37,746,6,11,8,0,4,138,1,615,0,0,0,0,0,0,0,2,0,35,0,0,6,11,8,0,4,136,1,580,0,0
제21대,8VJ8533R,최연숙,崔姸淑,국민의당,비례대표,507,72,435,3,22,3,0,2,93,1,383,0,0,0,7,0,0,0,17,0,48,0,0,3,15,3,0,2,76,1,335,0,0
제21대,OW53107J,설훈,薛勳,더불어민주당,경기 부천시을,479,57,422,9,23,3,0,3,105,1,335,0,0,3,2,1,0,0,9,0,42,0,0,6,21,2,0,3,96,1,293,0,0
제21대,SQ36001H,송기헌,宋基憲,더불어민주당,강원 원주시을,465,85,380,12,37,2,0,8,105,7,294,0,0,2,6,0,0,0,13,2,62,0,0,10,31,2,0,8,92,5,232,0,0
제21대,6MO8786S,안병길,安炳吉,미래통합당,부산 서구동구,987,123,864,16,37,10,0,12,221,6,685,0,0,4,4,0,0,0,15,1,99,0,0,12,33,10,0,12,206,5,586,0,0
제21대,MRK4871S,유의동,兪義東,미래통합당,경기 평택시을,535,59,476,7,25,4,0,2,117,3,377,0,0,0,5,0,0,0,14,0,40,0,0,7,20,4,0,2,103,3,337,0,0
제21대,VHK3402G,정우택,鄭宇澤,국민의힘,충북 청주시상당구,669,68,601,5,33,3,0,20,151,1,456,0,0,1,4,0,0,1,19,1,42,0,0,4,29,3,0,19,132,0,414,0,0
제21대,60490713,강병원,姜炳遠,더불어민주당,서울 은평구을,1042,104,938,11,47,10,0,6,270,4,694,0,0,0,0,1,0,0,34,0,69,0,0,11,47,9,0,6,236,4,625,0,0
제21대,QQP4727N,배준영,裵俊英,미래통합당,인천 중구강화군옹진군,794,71,723,17,36,15,0,37,196,4,489,0,0,1,2,4,0,19,14,0,31,0,0,16,34,11,0,18,182,4,458,0,0
제21대,XR24352K,서영석,徐暎錫,더불어민주당,경기 부천시정,1329,85,1244,36,68,14,0,5,332,5,869,0,0,3,5,0,0,0,27,0,50,0,0,33,63,14,0,5,305,5,819,0,0
제21대,F5Y4026Q,신현영,申賢榮,더불어시민당,비례대표,546,111,435,24,29,0,0,5,128,1,359,0,0,1,4,0,0,0,34,0,72,0,0,23,25,0,0,5,94,1,287,0,0
제21대,YTA7297R,최영희,崔英姬,국민의힘,비례대표,560,25,535,4,27,2,0,5,128,0,394,0,0,1,3,0,0,0,5,0,16,0,0,3,24,2,0,5,123,0,378,0,0
제21대,FGI27280,하영제,河榮帝,미래통합당,경남 사천시남해군하동군,1140,89,1051,9,61,13,0,12,264,7,774,0,0,0,0,0,0,0,18,1,70,0,0,9,61,13,0,12,246,6,704,0,0
제21대,7I09543O,이장섭,李將燮,더불어민주당,충북 청주시서원구,919,64,855,13,61,9,0,3,216,6,611,0,0,2,6,0,0,1,13,0,42,0,0,11,55,9,0,2,203,6,569,0,0
제21대,BM63269Y,전해철,全海澈,더불어민주당,경기 안산시상록구갑,327,49,278,2,25,8,0,0,58,0,234,0,0,0,5,1,0,0,7,0,36,0,0,2,20,7,0,0,51,0,198,0,0
제21대,5KV82250,조경태,趙慶泰,미래통합당,부산 사하구을,801,75,726,10,30,6,0,7,205,8,535,0,0,2,5,1,0,0,14,2,51,0,0,8,25,5,0,7,191,6,484,0,0
제21대,P2N50879,강민정,姜旼姃,열린민주당,비례대표,1689,126,1563,6,36,12,0,3,316,3,1313,0,0,0,0,5,0,0,15,0,106,0,0,6,36,7,0,3,301,3,1207,0,0
제21대,8X15119P,윤한홍,尹漢洪,미래통합당,경남 창원시마산회원구,659,40,619,6,27,7,0,2,175,3,439,0,0,2,1,0,0,0,18,0,19,0,0,4,26,7,0,2,157,3,420,0,0
제21대,DBA1057Z,이용호,李容鎬,무소속,전북 남원시임실군순창군,567,82,485,7,35,5,0,4,135,0,381,0,0,0,4,1,0,1,17,0,59,0,0,7,31,4,0,3,118,0,322,0,0
제21대,USR7059P,정경희,丁慶姬,미래한국당,비례대표,479,49,430,5,20,2,0,7,107,8,330,0,0,1,0,0,0,0,8,0,40,0,0,4,20,2,0,7,99,8,290,0,0
제21대,LJK4960Z,정점식,鄭点植,미래통합당,경남 통영시고성군,370,69,301,7,26,4,0,5,102,4,222,0,0,3,10,1,0,1,22,0,32,0,0,4,16,3,0,4,80,4,190,0,0
제21대,68P7228G,진선미,陳善美,더불어민주당,서울 강동구갑,452,80,372,9,25,3,0,0,122,1,292,0,0,1,5,1,0,0,16,0,57,0,0,8,20,2,0,0,106,1,235,0,0
제21대,8348421R,엄태영,嚴泰永,미래통합당,충북 제천시단양군,868,59,809,21,34,10,0,5,220,7,571,0,0,0,0,1,0,0,4,0,54,0,0,21,34,9,0,5,216,7,517,0,0
제21대,RO593601,이동주,李東洲,더불어시민당,비례대표,1477,81,1396,15,52,5,0,8,321,2,1074,0,0,0,1,0,0,0,9,0,71,0,0,15,51,5,0,8,312,2,1003,0,0
제21대,D4L60530,이수진,李秀眞,더불어민주당,서울 동작구을,1351,101,1250,33,73,18,0,5,342,5,875,0,0,2,3,0,0,0,13,0,83,0,0,31,70,18,0,5,329,5,792,0,0
제21대,ZYH1940A,이상민,李相珉,더불어민주당,대전 유성구을,249,32,217,2,17,2,0,0,64,2,162,0,0,0,3,0,0,0,5,0,24,0,0,2,14,2,0,0,59,2,138,0,0
제21대,CZB4125D,장제원,張濟元,미래통합당,부산 사상구,254,53,201,6,8,4,0,0,64,1,171,0,0,0,1,2,0,0,10,0,40,0,0,6,7,2,0,0,54,1,131,0,0
제21대,UQ282145,이재정,李在汀,더불어민주당,경기 안양시동안구을,408,55,353,7,21,2,0,2,104,2,270,0,0,1,2,0,0,0,9,0,43,0,0,6,19,2,0,2,95,2,227,0,0
제21대,HSW1214Q,이종배,李鍾培,미래통합당,충북 충주시,1293,149,1144,13,51,17,0,24,343,5,840,0,0,1,4,3,0,3,25,0,113,0,0,12,47,14,0,21,318,5,727,0,0
제21대,P0F1530P,김태호,金台鎬,무소속,경남 산청군함양군거창군합천군,614,22,592,11,21,7,0,3,163,2,407,0,0,0,0,1,0,0,4,1,16,0,0,11,21,6,0,3,159,1,391,0,0
제21대,WFU14784,서정숙,徐正淑,미래한국당,비례대표,587,48,539,9,25,6,0,2,140,3,402,0,0,0,2,0,0,0,19,0,27,0,0,9,23,6,0,2,121,3,375,0,0
제21대,9JF4562W,이용선,李庸瑄,더불어민주당,서울 양천구을,887,59,828,11,41,6,0,6,203,0,620,0,0,0,1,1,0,0,7,0,50,0,0,11,40,5,0,6,196,0,570,0,0
제21대,8VY63414,류성걸,柳性杰,미래통합당,대구 동구갑,627,87,540,10,25,4,0,13,155,3,417,0,0,3,4,1,0,8,22,0,49,0,0,7,21,3,0,5,133,3,368,0,0
제21대,D0C85236,박완수,朴完洙,미래통합당,경남 창원시의창구,265,53,212,4,14,2,0,7,65,1,172,0,0,2,2,0,0,0,18,1,30,0,0,2,12,2,0,7,47,0,142,0,0
제21대,A494529E,천준호,千俊鎬,더불어민주당,서울 강북구갑,476,43,433,2,36,4,0,5,136,3,290,0,0,0,3,0,0,0,17,0,23,0,0,2,33,4,0,5,119,3,267,0,0
제21대,YKW37422,권은희,權垠希,국민의당,비례대표,259,24,235,0,16,4,0,0,68,1,170,0,0,0,0,0,0,0,8,1,15,0,0,0,16,4,0,0,60,0,155,0,0
제21대,6AU2417B,박주민,朴柱民,더불어민주당,서울 은평구갑,480,141,339,16,29,1,0,0,67,0,367,0,0,1,3,0,0,0,25,0,112,0,0,15,26,1,0,0,42,0,255,0,0
제21대,FU53642G,허영,許榮,더불어민주당,강원 춘천시철원군화천군양구군갑,1498,91,1407,22,90,10,0,2,415,4,955,0,0,0,6,1,0,1,17,0,66,0,0,22,84,9,0,1,398,4,889,0,0
