의안ID,의안번호,법률안명,소관위원회,제안일,본회의심의결과,대수,상세페이지,제안자,제안자목록링크,법사위처리일,법사위상정일,법사위회부일,소관위처리결과,소관위처리일,소관위상정일,소관위회부일,의결일,소관위원회ID,공동발의자,법사위처리결과,대표발의자
010751,130086,엽연초생산조합임원임면에관한임시조치법폐지법률안,재무위원회,1988-08-03,폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010751&ageFrom=13&ageTo=13,한승수의원 외 20인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010751,,,,폐기,1989-03-06,1989-02-24,1989-01-26,1989-03-08,9700011,,,한승수
010748,130085,인삼사업법중개정법률안,민주발전을위한법률개폐특별위원회,1988-08-03,폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010748&ageFrom=13&ageTo=13,서상목의원 외 20인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010748,,,,폐기,1988-12-28,1988-12-28,1988-08-05,1989-02-13,9700148,,,서상목
010747,130084,산림조합법중개정법률안,민주발전을위한법률개폐특별위원회,1988-08-03,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010747&ageFrom=13&ageTo=13,권해옥의원 외 19인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010747,,,,대안반영폐기,1989-03-06,1988-10-25,1988-08-05,1989-03-08,9700148,,,권해옥
010757,130083,수산업협동조합법중개정법률안,민주발전을위한법률개폐특별위원회,1988-08-03,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010757&ageFrom=13&ageTo=13,신재기의원 외 19인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010757,,,,대안반영폐기,1988-12-12,1988-10-04,1988-08-05,1988-12-17,9700148,,,신재기
010759,130082,축산업협동조합법중개정법률안,민주발전을위한법률개폐특별위원회,1988-08-03,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010759&ageFrom=13&ageTo=13,신재기의원 외 19인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010759,,,,대안반영폐기,1988-12-12,1988-10-04,1988-08-05,1988-12-17,9700148,,,신재기
010746,130081,농업협동조합법중개정법률안,민주발전을위한법률개폐특별위원회,1988-08-03,철회,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010746&ageFrom=13&ageTo=13,유수호의원 외 20인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010746,,,,철회,,,1988-08-05,1988-08-22,9700148,,,유수호
010745,130080,수산업협동조합임원임면에관한임시조치법폐지법률안,민주발전을위한법률개폐특별위원회,1988-08-03,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010745&ageFrom=13&ageTo=13,신재기의원 외 19인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010745,,,,대안반영폐기,1988-12-12,1988-10-04,1988-08-05,1988-12-17,9700148,,,신재기
010758,130079,축산업협동조합임원임면에관한임시조치법폐지법률안,민주발전을위한법률개폐특별위원회,1988-08-03,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010758&ageFrom=13&ageTo=13,신재기의원 외 19인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010758,,,,대안반영폐기,1988-12-12,1988-10-04,1988-08-05,1988-12-17,9700148,,,신재기
010756,130078,농업협동조합임원임면에관한임시조치법폐지법률안,민주발전을위한법률개폐특별위원회,1988-08-03,대안반영폐기,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010756&ageFrom=13&ageTo=13,유수호의원 외 20인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010756,,,,대안반영폐기,1988-12-12,1988-10-04,1988-08-05,1988-12-17,9700148,,,유수호
010739,130072,올림픽의평화를지키기위한법률안,올림픽특별위원회,1988-07-21,수정가결,13,http://likms.assembly.go.kr/bill/billDetail.do?billId=010739&ageFrom=13&ageTo=13,강영훈의원 외 123인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=010739,1988-07-23,1988-07-23,1988-07-22,수정가결,1988-07-22,1988-07-22,1988-07-22,1988-07-23,,,수정가결,강영훈
