대수,국회의원코드,국회의원명,국회의원한자명,정당명,선거구명,발의수(전체),발의수(대표발의),발의수(공동발의),원안가결(전체),수정가결(전체),철회(전체),부결(전체),수정안반영폐기(전체),대안반영폐기(전체),폐기(전체),임기만료폐기(전체),회기불계속폐기(전체),기타(전체),원안가결(대표발의),수정가결(대표발의),철회(대표발의),부결(대표발의),수정안반영폐기(대표발의),대안반영폐기(대표발의),폐기(대표발의),임기만료폐기(대표발의),회기불계속폐기(대표발의),기타,원안가결(공동발의),수정가결(공동발의),철회(공동발의),부결(공동발의),수정안반영폐기(공동발의),대안반영폐기(공동발의),폐기(공동발의),임기만료폐기(공동발의),회기불계속폐기(공동발의),기타(공동발의)
제16대,CT85313K,서병수,徐秉洙,한나라당,부산광역시 해운대구 기장군갑,113,4,109,2,9,1,1,0,26,8,66,0,0,0,0,0,0,0,3,0,1,0,0,2,9,1,1,0,23,8,65,0,0
제16대,3N322891,윤철상,尹鐵相,새천년민주당,비례대표,61,1,60,1,13,0,0,0,16,3,28,0,0,0,0,0,0,0,0,0,1,0,0,1,13,0,0,0,16,3,27,0,0
제16대,KOC6603F,김광원,金光元,한나라당,"경북 봉화,울진군",136,1,135,0,22,5,1,0,39,8,61,0,0,0,0,0,0,0,1,0,0,0,0,0,22,5,1,0,38,8,61,0,0
제16대,RE32613N,조순형,趙舜衡,새천년민주당,서울특별시 강북구을,28,1,27,2,3,0,0,0,8,3,12,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,8,3,11,0,0
제16대,OKR39415,김원웅,金元雄,한나라당,대전광역시 대덕구,307,24,283,7,34,1,0,0,94,27,144,0,0,3,1,0,0,0,8,0,12,0,0,4,33,1,0,0,86,27,132,0,0
제16대,A279211A,박승국,朴承國,한나라당,대구광역시 북구갑,158,9,149,1,24,4,1,0,54,5,69,0,0,0,3,1,0,0,1,0,4,0,0,1,21,3,1,0,53,5,65,0,0
제16대,AIP8367M,배기운,裵奇雲,새천년민주당,전남 나주시,189,9,180,7,37,6,0,0,68,6,65,0,0,0,4,1,0,0,4,0,0,0,0,7,33,5,0,0,64,6,65,0,0
제16대,XHJ97828,이승철,李承哲,한나라당,서울 구로구을,123,3,120,5,14,1,0,0,32,7,64,0,0,0,0,0,0,0,0,0,3,0,0,5,14,1,0,0,32,7,61,0,0
제16대,FSJ32138,김영구,金榮龜,한나라당,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제16대,IVT5000L,박종희,朴鍾熙,한나라당,경기도 수원시장안구,141,5,136,2,15,2,0,0,37,10,75,0,0,0,2,0,0,0,2,0,1,0,0,2,13,2,0,0,35,10,74,0,0
제16대,YDT17694,윤여준,尹汝儁,한나라당,비례대표,139,1,138,2,12,4,0,0,48,13,60,0,0,0,0,0,0,0,1,0,0,0,0,2,12,4,0,0,47,13,60,0,0
제16대,9QU6193H,조재환,趙在煥,새천년민주당,비례대표,120,9,111,4,24,10,0,0,32,8,42,0,0,0,2,0,0,0,3,4,0,0,0,4,22,10,0,0,29,4,42,0,0
제16대,A9233564,김희선,金希宣,새천년민주당,서울특별시 동대문구갑,274,14,260,5,41,9,0,0,73,15,131,0,0,1,1,2,0,0,1,2,7,0,0,4,40,7,0,0,72,13,124,0,0
제16대,PAO22428,송영길,宋永吉,새천년민주당,인천 계양구,208,6,202,6,29,3,0,0,61,12,97,0,0,0,0,0,0,0,5,0,1,0,0,6,29,3,0,0,56,12,96,0,0
제16대,NJ55552S,오장섭,吳長燮,자유민주연합,충남 예산군,53,3,50,1,11,1,0,0,21,1,18,0,0,0,0,0,0,0,1,0,2,0,0,1,11,1,0,0,20,1,16,0,0
제16대,QYJ10060,유재규,柳在珪,새천년민주당,"강원도 홍천,횡성군",146,5,141,2,12,4,0,0,44,10,74,0,0,0,0,0,0,0,1,0,4,0,0,2,12,4,0,0,43,10,70,0,0
제16대,QL63675M,정재문,鄭在文,한나라당,,41,1,40,0,10,0,0,0,13,3,15,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,13,3,14,0,0
제16대,NLM21386,조성준,趙誠俊,새천년민주당,경기도 성남시중원구,125,3,122,4,29,5,0,0,35,4,48,0,0,0,0,0,0,0,1,0,2,0,0,4,29,5,0,0,34,4,46,0,0
제16대,17671841,김태홍,金泰弘,새천년민주당,광주광역시 북구을,268,9,259,5,52,12,0,0,82,14,103,0,0,0,2,0,0,0,4,0,3,0,0,5,50,12,0,0,78,14,100,0,0
제16대,MLH1404S,김민석,金民錫,새천년민주당,서울특별시 영등포구을,79,4,75,4,14,5,0,0,30,4,22,0,0,0,1,1,0,0,1,0,1,0,0,4,13,4,0,0,29,4,21,0,0
제16대,ERX2058H,김충조,金忠兆,새천년민주당,전남 여수시,122,9,113,2,17,2,0,0,33,4,64,0,0,1,1,0,0,0,3,1,3,0,0,1,16,2,0,0,30,3,61,0,0
제16대,GJC8715J,도종이,都鐘伊,한나라당,부산 부산진구을,117,5,112,0,18,3,1,0,39,8,48,0,0,0,2,0,0,0,3,0,0,0,0,0,16,3,1,0,36,8,48,0,0
제16대,8U25041C,송영진,宋榮珍,새천년민주당,충남 당진군,55,2,53,0,8,0,1,0,16,0,30,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,1,0,16,0,29,0,0
제16대,EBU8493R,이미경,李美卿,새천년민주당,서울특별시 은평구갑,243,10,233,12,49,2,0,0,74,9,97,0,0,0,2,0,0,0,2,0,6,0,0,12,47,2,0,0,72,9,91,0,0
제16대,I1A2946I,장성민,張誠珉,새천년민주당,서울특별시 금천구,48,1,47,0,4,3,0,0,18,2,21,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,18,2,20,0,0
제16대,WZK3380B,현경대,玄敬大,한나라당,제주도 제주시,100,6,94,3,18,3,0,0,27,9,40,0,0,0,1,0,0,0,1,0,4,0,0,3,17,3,0,0,26,9,36,0,0
제16대,35I30124,강삼재,姜三載,한나라당,경상남도 마산시회원구,56,3,53,0,8,0,0,0,18,6,24,0,0,0,0,0,0,0,1,0,2,0,0,0,8,0,0,0,17,6,22,0,0
제16대,X9Z79695,김호일,金浩一,한나라당,경남 마산시 합포군,109,1,108,7,17,1,0,0,39,14,31,0,0,0,0,0,0,0,0,1,0,0,0,7,17,1,0,0,39,13,31,0,0
제16대,GVS3975B,안동선,安東善,새천년민주당,경기도 부천시원미구갑,67,0,67,2,13,2,0,0,20,2,28,0,0,0,0,0,0,0,0,0,0,0,0,2,13,2,0,0,20,2,28,0,0
제16대,P6Q6720D,김성순,金聖順,새천년민주당,서울특별시 송파구을,219,26,193,6,48,5,0,0,69,9,82,0,0,2,6,1,0,0,6,0,11,0,0,4,42,4,0,0,63,9,71,0,0
