대수,국회의원코드,국회의원명,국회의원한자명,정당명,선거구명,발의수(전체),발의수(대표발의),발의수(공동발의),원안가결(전체),수정가결(전체),철회(전체),부결(전체),수정안반영폐기(전체),대안반영폐기(전체),폐기(전체),임기만료폐기(전체),회기불계속폐기(전체),기타(전체),원안가결(대표발의),수정가결(대표발의),철회(대표발의),부결(대표발의),수정안반영폐기(대표발의),대안반영폐기(대표발의),폐기(대표발의),임기만료폐기(대표발의),회기불계속폐기(대표발의),기타,원안가결(공동발의),수정가결(공동발의),철회(공동발의),부결(공동발의),수정안반영폐기(공동발의),대안반영폐기(공동발의),폐기(공동발의),임기만료폐기(공동발의),회기불계속폐기(공동발의),기타(공동발의)
제18대,CYD5815E,정갑윤,鄭甲潤,한나라당,울산 중구,757,32,725,24,44,16,2,0,249,59,363,0,0,0,3,1,0,0,8,1,19,0,0,24,41,15,2,0,241,58,344,0,0
제18대,37K34903,홍희덕,洪熙德,민주노동당,비례대표,862,20,842,119,10,8,0,0,229,155,341,0,0,0,0,0,0,0,4,0,16,0,0,119,10,8,0,0,225,155,325,0,0
제18대,SKV1971K,유선호,柳宣浩,통합민주당,전남 장흥군강진군영암군,777,47,730,7,18,13,0,0,173,58,508,0,0,0,1,1,0,0,11,6,28,0,0,7,17,12,0,0,162,52,480,0,0
제18대,ZB494869,정영희,丁英姬,친박연대,비례대표,643,18,625,5,30,9,0,0,220,55,324,0,0,1,1,0,0,0,3,1,12,0,0,4,29,9,0,0,217,54,312,0,0
제18대,06L2365K,홍일표,洪日杓,한나라당,인천 남구갑,361,22,339,7,15,6,0,0,136,27,170,0,0,1,1,0,0,0,7,1,12,0,0,6,14,6,0,0,129,26,158,0,0
제18대,SOB8871D,권선택,權善宅,자유선진당,대전 중구,597,24,573,9,20,18,0,0,178,34,338,0,0,0,0,1,0,0,4,2,17,0,0,9,20,17,0,0,174,32,321,0,0
제18대,UGH6481E,김상희,金相姬,통합민주당,비례대표,660,55,605,6,21,9,0,0,220,28,376,0,0,1,2,0,0,0,14,3,35,0,0,5,19,9,0,0,206,25,341,0,0
제18대,BEJ7022K,김성회,金成會,한나라당,경기 화성시갑,374,16,358,3,26,5,0,0,130,36,174,0,0,0,0,0,0,0,5,2,9,0,0,3,26,5,0,0,125,34,165,0,0
제18대,CAL85655,유기준,兪奇濬,무소속,부산 서구,770,26,744,14,35,9,0,0,268,75,369,0,0,0,1,0,0,0,3,4,18,0,0,14,34,9,0,0,265,71,351,0,0
제18대,X7I4680R,김기현,金起炫,한나라당,울산 남구을,246,35,211,4,14,5,0,0,103,17,103,0,0,2,2,2,0,0,21,1,7,0,0,2,12,3,0,0,82,16,96,0,0
제18대,DTG4846A,김선동,金善東,한나라당,서울 도봉구을,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제18대,NFR83567,김세웅,金世雄,통합민주당,전북 전주시덕진구,59,4,55,0,5,0,0,0,16,4,34,0,0,0,0,0,0,0,2,2,0,0,0,0,5,0,0,0,14,2,34,0,0
제18대,6YT83269,이명수,李明洙,자유선진당,충남 아산시,1614,355,1259,131,34,25,2,0,453,218,751,0,0,39,6,4,0,0,102,41,163,0,0,92,28,21,2,0,351,177,588,0,0
제18대,NET6850O,이윤성,李允盛,한나라당,인천 남동구갑,307,23,284,10,18,3,0,0,101,13,162,0,0,3,1,0,0,0,7,0,12,0,0,7,17,3,0,0,94,13,150,0,0
제18대,0ID22746,이진복,李珍福,무소속,부산 동래구,419,30,389,13,33,10,1,0,125,28,209,0,0,0,0,0,0,0,9,3,18,0,0,13,33,10,1,0,116,25,191,0,0
제18대,BQS2021C,김성태,金聖泰,한나라당,서울 강서구을,911,31,880,18,50,7,0,0,303,93,440,0,0,0,2,0,0,0,12,1,16,0,0,18,48,7,0,0,291,92,424,0,0
제18대,X316937B,김정권,金正權,한나라당,경남 김해시갑,1093,39,1054,14,48,11,0,0,360,103,557,0,0,1,0,1,0,0,15,4,18,0,0,13,48,10,0,0,345,99,539,0,0
제18대,RG97851G,선경식,宣炅植,창조한국당,비례대표,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
제18대,0767470D,이낙연,李洛淵,통합민주당,전남 함평군영광군장성군,565,39,526,5,26,3,0,0,133,40,358,0,0,0,1,0,0,0,13,2,23,0,0,5,25,3,0,0,120,38,335,0,0
제18대,4D93608C,원희목,元喜睦,한나라당,비례대표,1102,50,1052,125,43,17,0,0,274,175,468,0,0,0,3,1,0,0,19,0,27,0,0,125,40,16,0,0,255,175,441,0,0
제18대,CZB4125D,장제원,張濟元,한나라당,부산 사상구,455,57,398,10,19,9,0,0,143,38,236,0,0,1,1,2,0,0,17,7,29,0,0,9,18,7,0,0,126,31,207,0,0
제18대,0GX8381G,정해걸,丁海杰,무소속,"경북 군위군,의성군,청송군",1124,35,1089,31,77,10,2,0,312,81,611,0,0,0,7,0,0,0,17,0,11,0,0,31,70,10,2,0,295,81,600,0,0
제18대,GCA42857,주승용,朱昇鎔,통합민주당,전남 여수시을,926,79,847,7,30,8,0,0,234,41,606,0,0,0,1,0,0,0,26,1,51,0,0,7,29,8,0,0,208,40,555,0,0
제18대,1PK82111,강기정,姜琪正,통합민주당,광주 북구갑,980,44,936,9,17,7,1,0,261,76,609,0,0,0,0,0,0,0,4,2,38,0,0,9,17,7,1,0,257,74,571,0,0
제18대,4NU4867S,구상찬,具相燦,한나라당,서울 강서구갑,299,11,288,9,16,3,0,0,91,19,161,0,0,0,0,0,0,0,4,2,5,0,0,9,16,3,0,0,87,17,156,0,0
